tokens,examples
"('haul', 'verb')",to haul logs to a sawmill
"('offshore', 'adjective')",an offshore oil rig
"('29,000', 'None')","29,000"
"('dart', 'verb')",The sun darts forth his beams.
"('breath', 'noun')",I could hear the breath of the runner behind me.
"('angrily', 'adverb')","""Leave me alone for once,"" she said angrily."
"('stony', 'adjective')",Synonym: rock-hard
"('pornography', 'noun')",What is pornography to one man is the laughter of genius to another.
"('evaluate', 'verb')",Death is a factor that changes all our views as we are forced to evaluate our worth and what ultimately matters in life.
"('day', 'noun')",I've been here for two days and a bit.
"('tiphook', 'None')",tiphook
"('hurriedly', 'adverb')","The mother, Ekaterina Pavlovna, who at one time had been handsome, but now, asthmatic, depressed, vague, and over-feeble for her years, tried to entertain me with conversation about painting. Having heard from her daughter that I might come to Shelkovka, she had hurriedly recalled two or three of my landscapes which she had seen in exhibitions in Moscow, and now asked what I meant to express by them."
"('object', 'verb')",I object to the proposal to build a new airport terminal.
"('hustler', 'None')",hustler
"('pre-school', 'adjective')",pre-school
"('harrow', 'None')",harrow
"('lam', 'None')",lam
"('menace', 'noun')",the dark menace of the distant war.
"('fayre', 'noun')","WHERE AS before this tyme dyverse Actis of Parliament have byn made by the Kyngis most noble pgenitours agaynst forstallers and regratours of vytaile and other marchaundisez in markettis and fayres within this Realme of Englonde,  […]  Be it therfore enactid by auctorite of this psent parliament that noo maner of pson or psones of what estate degree or condicion he or they be, other then suche pson or psones as nowe be or herafter shalbe marchaunt venterers to Iselande, for the seid fysshe,  […]  shall bye any of the kindes of the seid fysshe at or [apon] the stone or at the seyd easte see syde or easte see costis, to sell the same fysshe agayn or any parte therof at any of the seid fayre or fayres callid Sturbrigge feyre Sancte Ives or Elye fayre;  […]"
"('trickle', 'noun')",The brook had shrunk to a mere trickle.
"('north-west', 'noun')",north-west
"('lino', 'noun')",But there was nobody at Kig and Kadgit's except the charwoman wiping over the “lino” in the passage.
"('management', 'noun')","The help tended to be officious, the rules, if heeded, restrictive, and the management meddlesome."
"('speak', 'verb')","And Vickers launched forth into a tirade very different from his platform utterances. He spoke with extreme contempt of the dense stupidity exhibited on all occasions by the working classes. He said that if you wanted to do anything for them, you must rule them, not pamper them."
"('optimal', 'adjective')",Finding the optimal balance between features and price is a common problem.
"('herb', 'noun')","If any medicinal herbs used by witches were supposedly evil, then how come people from at least the past benefited from the healing properties of such herbs?"
"('mercenary', 'adjective')",mercenary
"('hipp', 'None')",hipp
"('giro', 'None')",giro
"('brainstorm', 'verb')","Meanwihle at Winterfell, another overdone scheme designed mainly to surprise the audience. In the black of her chambers, Sansa brainstorms with Littlefinger what Arya could want. “After she murders you, what does she become?” he asks. To which Sansa does everything but gasp and spit-take, widening her eyes and saying like she’s just realizing it for the first time, “Lady of Winterfell.”"
"('uncensorious', 'adjective')",uncensorious
"('rail', 'noun')","Old Applegate, in the stern, just set and looked at me, and Lord James, amidship, waved both arms and kept hollering for help. I took a couple of everlasting big strokes and managed to grab hold of the skiff's rail, close to the stern."
"('brumaire', 'noun')",brumaire
"('potent', 'adjective')",a potent argument
"('bp', 'None')",bp
"('bronx', 'None')",bronx
"('bridge', 'None')",bridge
"('apartment', 'noun')",apartment dwellers
"('pottery', 'noun')",The shelves were lined with pottery of all shapes and sizes.
"('paperwork', 'noun')",do paperwork
"('francorum', 'None')",francorum
"('cunha', 'None')",cunha
"('anthony', 'None')",anthony
"('such that', 'None')",such that
"('precaution', 'noun')",his life was saved by precaution
"('glenn', 'None')",glenn
"('revolution', 'noun')","For a long time the dormouse and polecat had seemed to him overfeeble enemies for his restless valour, even as the granary floor seemed to afford too narrow a field. Every day he read the papers of the previous day in the servants' hall of the houses he visited, and it appeared to him that this war in America, which was hailed as the awakening of the spirit of liberty and justice in the New World, ought to produce a revolution in France."
"('shambles', 'noun')","Considering my life's in shambles right now, couldn't you at least take the blame?"
"('avoid', 'verb')",I avoided the slap easily.
"('enhanced', 'adjective')",Antonym: natural
"('scatter', 'noun')",The Los Angeles Basin evolved as a mobility surface principally through the  combination of an initial system of electric railways connecting a scatter of  agricultural settlement settlements.
"('alternative', 'adjective')",an alternative proposition
"('becoming', 'adjective')","This is our latest, said the salesgirl. Victory Red. Or here I've Carmine, which is very becoming on sallower skin like yours, so it is. If you don't mind me saying."
"('spherical', 'adjective')","The ability of a segment of a glass sphere to magnify whatever is placed before it was known around the year 1000, when the spherical segment was called a reading stone, essentially what today we might term a frameless magnifying glass or plain glass paperweight."
"('depth', 'noun')",Measure the depth of the water in this part of the bay.
"('creator', 'noun')",Kenneth E. Iverson was the creator of APL.
"('drake', 'noun')",Clay caught sight of the drake's wing outlined against the rising flames as it swept low over the desert.
"('cor', 'None')",cor
"('non-partitional', 'adjective')",non-partitional
"('agnes', 'None')",agnes
"('split', 'adjective')",Republicans appear split on the centerpiece of Mr. Obama's economic recovery plan.
"('lear', 'None')",lear
"('fake', 'adjective')",Synonyms: see Thesaurus:fake
"('all-black', 'adjective')",all-black
"('shah', 'None')",shah
"('leafless', 'adjective')",In winter the leafless trees look cold.
"('accustomed', 'adjective')",I am not accustomed to walking long distances
"('teacher', 'noun')","One particularly damaging, but often ignored, effect of conflict on education is the proliferation of attacks on schools […] as children, teachers or school buildings become the targets of attacks. Parents fear sending their children to school. Girls are particularly vulnerable to sexual violence."
"('grab', 'verb')","Old Applegate, in the stern, just set and looked at me, and Lord James, amidship, waved both arms and kept hollering for help. I took a couple of everlasting big strokes and managed to grab hold of the skiff's rail, close to the stern."
"('worthy', 'adjective')",These banished men that I have kept withal / Are men endued with worthy qualities
"('precarious', 'adjective')","Synonyms: unsteady, rickety, shaky, tottering, unsafe, unstable, wobbly"
"('parker', 'None')",parker
"('clthe', 'verb')",clthe
"('chant', 'verb')","the cherefull birds of sundry kind / Do chaunt sweet musick, to delight his mind"
"('deterioration', 'noun')",Synonym: retrogression
"('veal', 'noun')",Synonym:  calfflesh
"('theresa', 'None')",theresa
"('half-hour', 'noun')",half-hour
"('angie', 'None')",angie
"('first-', 'adjective')",first-
"('meacher', 'noun')",meacher
"('gurgle', 'verb')",The bath water gurgled down the drain.
"('amaldi', 'None')",amaldi
"('hurricane', 'noun')","An extreme version of vorticity is a vortex. The vortex is a spinning, cyclonic mass of fluid, which can be observed in the rotation of water going down a drain, as well as in smoke rings, tornados and hurricanes."
"('stewart', 'None')",stewart
"('most', 'None')",most
"('meaning', 'noun')","Elbows almost touching they leaned at ease, idly reading the almost obliterated lines engraved there. ¶ ""I never understood it,"" she observed, lightly scornful. ""What occult meaning has a sun-dial for the spooney? I'm sure I don't want to read riddles in a strange gentleman's optics."""
"('digitize', 'verb')",Synonym:  digitalize
